2162-07-18-20-03-21.662059
BS, S:61409,
3.19, 3.93
8.16, 3.78
23.65, 3.53
42.25, 3.38
60.47, 4.64
67.49, 8.51
55.68, 11.61
47.12, 12.49
49.74, 12.26
58.33, 12.66
55.80, 12.99
52.57, 13.57
49.84, 13.81
51.74, 13.68
52.05, 13.31
53.86, 13.46
55.31, 13.45
55.95, 13.84
53.64, 14.03
53.19, 14.62
52.25, 14.85
51.13, 14.94
50.65, 14.82
51.02, 14.76
50.26, 14.93
50.35, 15.49
50.98, 15.44
50.54, 14.98
49.01, 15.15
46.20, 15.20
48.05, 15.12
49.74, 15.11
51.28, 15.29
47.02, 15.24
47.56, 15.15
48.83, 15.10
48.62, 15.26
44.83, 15.08
43.42, 15.05
45.11, 15.29
45.78, 15.17
44.06, 15.14
42.85, 15.16
42.51, 15.05
43.16, 15.14
41.32, 15.16
40.12, 15.49
38.99, 15.32
35.99, 15.29
35.48, 15.50
33.75, 15.36
32.53, 15.28
32.54, 15.33
30.74, 15.42
29.35, 15.43
27.52, 15.37
26.36, 15.35
24.34, 15.45
22.41, 15.53
19.60, 15.63
17.25, 15.71
-13.03, 15.59
-36.11, 13.93
-37.98, 10.80
-30.77, 8.17
-30.28, 7.79
-35.00, 8.75
-46.88, 10.07
-55.14, 10.12
-63.48, 10.53
-66.06, 10.49
-63.70, 9.59
-66.28, 10.23
-73.47, 11.58
-79.26, 12.01
-82.89, 12.10
-84.70, 11.61
-85.75, 12.11
-89.19, 12.82
-93.41, 13.31
-90.37, 12.81
-73.38, 9.66
-51.36, 6.68
-30.16, 7.41
-28.02, 8.76
-34.33, 9.36
-39.47, 8.55
-37.65, 7.78
-32.29, 7.06
-30.33, 6.98
-28.83, 6.77
-28.71, 6.77
-29.12, 6.61
-28.58, 6.26
-27.16, 6.12
-24.55, 5.85
-22.49, 5.55
-20.69, 5.47
-19.88, 5.38
-17.78, 5.39
-17.62, 5.31
-16.61, 5.35
-15.75, 5.33
-15.21, 5.17
-14.26, 5.20
-13.70, 5.12
-13.89, 5.13
-13.97, 5.29
-14.75, 5.31
-15.24, 5.32
-14.35, 5.30
-14.31, 5.21
-14.07, 5.21
-14.27, 5.13
-13.61, 5.18
-12.62, 5.10
-12.58, 5.10
-13.08, 5.03
-11.12, 4.82
-10.47, 4.79
-9.34, 4.91
-8.38, 4.92
-8.47, 4.93
-8.24, 5.08
-8.44, 5.17
-8.39, 5.24
-8.51, 5.25
-9.28, 5.26
-9.55, 5.20
-8.77, 5.17
-9.18, 5.03
-8.39, 5.07
-8.74, 5.01
-8.45, 5.16
-8.25, 5.17
-8.72, 5.18
-8.77, 5.09
-9.28, 5.17
-9.89, 5.43
-10.43, 5.61
-11.63, 5.55
-12.60, 5.36
-11.08, 4.92
-9.86, 4.78
-7.78, 4.66
-6.66, 4.71
-6.58, 4.94
-7.26, 5.12
-6.68, 5.20
-6.94, 5.21
-6.69, 5.21
-7.32, 5.13
-7.49, 5.06
-6.40, 5.03
-6.15, 4.94
-5.59, 5.02
-5.67, 4.95
-6.16, 5.05
-5.63, 5.01
-4.79, 4.91
-4.52, 4.84
-3.65, 4.89
-3.46, 4.96
-3.37, 4.98
-3.36, 5.06
-3.70, 5.03
-3.78, 5.13
-4.25, 5.06
-4.28, 5.01
-3.81, 4.98
-3.72, 4.98
-3.49, 4.98
-3.53, 4.92
-3.26, 5.06
-3.16, 5.12
-3.56, 5.22
-4.81, 5.29
-4.94, 5.18
-4.98, 5.01
-4.43, 4.99
-4.29, 4.93
-4.24, 5.06
-4.34, 5.09
-4.59, 5.16
-4.86, 5.17
-5.37, 5.09
-5.14, 5.02
-4.73, 5.07
-4.89, 5.02
-5.02, 5.17
-5.56, 5.18
-5.49, 5.18
-5.37, 5.10
-5.07, 5.00
-4.93, 5.00
-4.63, 4.93
-4.19, 5.00
-3.63, 5.06
-3.70, 5.13
-3.52, 5.15
-3.30, 5.00
-3.63, 5.06
-3.10, 4.92
-2.92, 5.04
-2.43, 4.96
-2.29, 5.04
-2.34, 5.10
-2.33, 5.13
-2.49, 5.13
-2.42, 4.98
-2.47, 5.08
-2.44, 5.03
-2.33, 4.97
-2.04, 4.97
-2.04, 5.03
-1.94, 4.97
-2.02, 5.03
-1.82, 5.03
-1.74, 4.96
-1.88, 4.96
-1.79, 4.96
-1.82, 5.02
-1.63, 4.96
-1.39, 4.95
-1.60, 4.96
-1.29, 5.02
-1.53, 5.08
-1.58, 5.04
-1.88, 5.11
-2.07, 5.05
-2.03, 5.03
-1.98, 4.95
-1.81, 5.03
-1.74, 4.96
-1.70, 5.02
-1.49, 5.02
-1.65, 5.03
-1.59, 5.02
-1.55, 5.02
-1.41, 4.94
-1.24, 4.87
-0.93, 5.00
-0.65, 4.95
-0.56, 5.09
-0.87, 5.18
-1.52, 5.13
-2.18, 5.19
-2.33, 5.12
-2.28, 5.04
-1.97, 4.88
-1.60, 4.88
-0.91, 4.77
